accelerometer,,,
Timestamp (ms),x (m/s^2),y-acc (m/s^2),z-acc(m/s^2)
1485644721552,0.3154297,-1.1586914,1.6049805
1485644721557,0.32080078,-1.2861328,1.3325195
1485644721561,-0.032226563,-1.3125,0.70751953
1485644721567,0.22460938,-1.425293,0.93408203
1485644721573,0.40429688,-1.2919922,0.9296875
1485644721577,0.27978516,-1.3320313,0.87890625
1485644721582,0.18896484,-1.3920898,0.55078125
1485644721586,0.54541016,-1.4379883,0.87109375
1485644721592,0.37939453,-1.3295898,0.66552734
1485644721596,0.3696289,-1.2739258,0.4609375
1485644721602,0.8847656,-1.3652344,0.17138672
1485644721607,0.10888672,-3.4467773,-0.31982422
1485644721612,-1.6396484,-2.4692383,-0.5708008
1485644721617,-1.1523438,-1.387207,-0.9355469
1485644721621,1.1865234,-1.296875,-1.1967773
1485644721630,1.0571289,-0.9111328,-1.5595703
1485644721631,0.74072266,-1.9155273,-1.8295898
1485644721639,0.93310547,-1.3442383,-2.7182617
1485644721642,1.2319336,-1.6748047,-3.5551758
1485644721646,0.15722656,-2.6606445,-3.6733398
1485644721652,-0.9628906,-3.150879,-4.7158203
1485644721656,-1.0908203,-3.3969727,-5.3530273
1485644721662,-1.4536133,-3.475586,-6.2231445
1485644721667,-1.9150391,-3.7670898,-7.2055664
1485644721672,-2.166504,-4.352539,-7.3867188
1485644721677,-2.9213867,-4.6171875,-7.166992
1485644721681,-3.1079102,-5.1259766,-6.272949
1485644721687,-3.0947266,-5.132324,-5.0688477
1485644721691,-3.307129,-5.213379,-4.8911133
1485644721697,-3.2158203,-4.9023438,-3.3266602
1485644721702,-2.7456055,-5.7021484,-2.6967773
1485644721708,-3.9091797,-4.7124023,-3.5634766
1485644721712,-3.6347656,-4.5200195,-5.154785
1485644721716,-3.3657227,-4.3344727,-4.9248047
1485644721722,-2.8554688,-3.6860352,-5.1625977
1485644721727,-2.5820313,-3.2666016,-5.1186523
1485644721732,-2.133789,-2.7875977,-4.7055664
1485644721737,-2.440918,-2.0698242,-5.548828
1485644721741,-2.116211,-0.5366211,-3.1914063
