gyroscope ,,,
Timestamp (ms) , x-gyro (deg/s), y-gyro (deg/s), z-gyro (deg/s) 
1485644722235,-16.95122,197.62195,114.02439
1485644722240,-19.45122,190.18294,112.621956
1485644722246,-23.719513,185.12195,110.914635
1485644722250,-25.609756,181.7683,109.5122
1485644722254,-26.95122,176.7683,107.926834
1485644722260,-34.878048,170.36586,106.46342
1485644722265,-45.975613,162.92683,105.60976
1485644722270,-53.841465,154.14635,106.585365
1485644722278,-61.768295,144.87805,107.2561
1485644722281,-66.768295,137.5,107.439026
1485644722287,-66.89024,132.98781,108.23171
1485644722289,-63.65854,130.97562,108.90244
1485644722295,-59.45122,129.45122,106.82927
1485644722300,-54.146343,128.10976,104.69512
1485644722306,-45.182926,128.78049,104.39024
1485644722310,-32.19512,131.03659,105.54878
1485644722316,-16.219513,134.32927,107.68293
1485644722320,0.12195122,137.13416,109.14635
1485644722325,16.219513,139.63416,109.939026
1485644722330,31.280489,142.37805,111.768295
1485644722335,46.646343,146.58537,141.46342
1485644722341,62.92683,151.5244,4.085366
1485644722345,79.32927,157.62195,38.109756
1485644722351,95.060974,163.41464,88.10976
1485644722355,108.414635,165.06097,-25.487806
1485644722360,119.14635,165.48781,-70.060974
1485644722367,128.53659,167.2561,-40.97561
1485644722370,137.13416,167.31708,-50.73171
1485644722376,146.21951,170.7927,-77.256096
1485644722380,154.93903,178.71951,-49.87805
1485644722386,161.95122,186.15854,-54.085365
1485644722391,163.78049,187.68294,-66.03659
1485644722396,161.70732,185.60976,-58.475613
1485644722401,156.70732,179.0244,-47.012196
1485644722405,150.79268,169.32927,-43.475613
1485644722411,146.95122,157.74391,-36.585365
1485644722417,143.41464,145.24391,-29.756098
1485644722423,139.69513,135.79268,-30.365854
1485644722426,138.10976,127.56098,-43.35366
1485644722432,145.54878,130.67073,-33.59756
1485644722436,227.68294,94.5122,-30.609756
1485644722440,265.85367,105.06098,-68.53659
1485644722446,271.2805,230.97562,-55.30488
1485644722451,245.42683,242.5,-39.512196
1485644722456,278.41464,191.70732,-43.963417
1485644722461,274.63416,192.5,-45.42683
1485644722467,251.7683,202.98781,-47.987804
1485644722474,242.2561,174.93903,-61.40244
1485644722476,244.57318,159.87805,-75.60976
1485644722483,218.59756,138.65854,-85.54878
1485644722486,207.92683,127.743904,-91.768295
1485644722492,173.2927,112.98781,-93.53659
1485644722496,159.69513,105.48781,-89.5122
1485644722502,140.30489,94.939026,-77.68293
1485644722506,133.53659,92.2561,-56.341465
1485644722512,127.743904,91.951225,-28.47561
1485644722517,135.18292,95.67073,0.12195122
1485644722521,155.7317,98.53659,21.524391
1485644722527,177.37805,108.23171,38.536587
1485644722531,215.97562,130.12195,51.15854
1485644722537,256.34146,128.71951,58.170734
1485644722541,290.2439,151.21951,61.40244
1485644722546,294.45123,174.45122,60.73171
1485644722552,294.81708,195.91464,64.939026
1485644722556,290.18292,208.59756,68.35366
1485644722562,277.62195,212.13416,71.28049
1485644722569,257.56097,203.96342,75.121956
1485644722572,227.13416,195.91464,75.060974
1485644722577,192.80489,189.93903,70.36585
1485644722581,159.63416,178.10976,62.37805
1485644722587,123.78049,168.90245,54.817074
1485644722591,93.17073,162.01219,48.35366
1485644722597,74.45122,157.86586,43.475613
1485644722601,56.09756,157.43903,40.365856
1485644722607,42.743904,154.2683,36.768295
1485644722612,33.35366,146.82927,30.97561
1485644722619,27.256098,133.2317,26.158537
1485644722622,22.92683,120.06098,21.707317
1485644722628,22.195122,111.768295,16.95122
1485644722632,20.792683,107.19512,10.487805
1485644722637,17.621952,104.02439,3.902439
1485644722642,15.243903,89.69512,-2.5609756
1485644722647,12.012196,70.54878,-8.414635
1485644722651,6.9512196,47.743904,-12.256098
1485644722657,0.6097561,25.609756,-15.6707325
1485644722662,-9.45122,7.987805,-21.341463
1485644722667,-19.695122,-6.890244,-26.95122
1485644722672,-32.134148,-18.170732,-31.463415
1485644722678,-46.036587,-25.54878,-36.707317
1485644722682,-58.719513,-29.146341,-42.439026
1485644722688,-70.30488,-29.085367,-48.963417
1485644722692,-80.914635,-24.512196,-54.7561
1485644722697,-90.243904,-16.280489,-60.975613
1485644722703,-97.31708,-5.0609756,-65.79269
1485644722708,-101.64635,7.4390244,-70.18293
1485644722714,-101.097565,19.87805,-73.78049
1485644722717,-96.82927,32.2561,-75.18293
1485644722723,-90.426834,45.243904,-75.73171
1485644722727,-81.52439,57.560978,-74.939026
1485644722732,-70,67.743904,-74.45122
1485644722738,-56.341465,74.63415,-77.0122
1485644722742,-40.97561,79.45122,-80.914635
1485644722748,-23.658537,83.23171,-86.52439
1485644722752,-4.756098,83.47561,-92.5
1485644722758,14.695123,78.90244,-98.71951
1485644722766,33.47561,74.756096,-105.06098
1485644722767,51.28049,71.82927,-109.451225
1485644722774,67.86585,69.20732,-113.10976
1485644722777,81.585365,68.29269,-118.35366
1485644722783,91.82927,68.47561,-120.48781
1485644722788,98.47561,70.243904,-122.31708
1485644722793,102.98781,71.768295,-124.20732
1485644722798,106.15854,75.426834,-123.23171
1485644722802,107.743904,78.65854,-121.28049
1485644722808,108.47561,80.060974,-120.121956
1485644722812,107.743904,80.54878,-118.78049
1485644722818,106.21951,78.90244,-119.32927
1485644722823,103.96342,75.67073,-121.097565
1485644722829,100.54878,71.82927,-121.21951
1485644722833,94.5122,67.19512,-121.951225
1485644722837,88.10976,61.219513,-124.63415
1485644722843,80.48781,55.73171,-128.2317
1485644722848,74.939026,50.487804,-129.14635
1485644722853,69.756096,45.73171,-128.84146
1485644722858,65.48781,42.073174,-127.86586
1485644722864,60.914635,40.670734,-129.14635
1485644722868,56.28049,40.365856,-129.0244
1485644722872,50.121952,39.268295,-128.10976
1485644722878,44.69512,35.792683,-129.32927
1485644722883,40.365856,32.560978,-127.37805
1485644722889,35.73171,26.40244,-123.71951
1485644722893,34.085365,19.146341,-119.69512
1485644722899,31.890245,12.621951,-115.30488
1485644722903,28.658537,5.670732,-108.78049
1485644722911,25.243902,-0.85365856,-103.10976
